,RecentPrice,Beta,AnnualDividendRate,ROE(%),ROA(%),ProfitMargin(%),TotalCash,TotalDebt,OutstandingShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,MarketCap
A,126.4400024414,1.05,0.79,24.2,9.12,18.7,38600000.0,563400000.0,300110000.0,929000000.0,5290000000.0,5173000000.0,5154000000.0,592000000.0,10327000000.0,3000000.0,232000000.0,159000000.0,685000000.0,3964000000.0,-298000000.0,625000000.0,1113000000.0,1584000000.0,-298000000.0,1144000000.0,3474000000.0,191000000.0,261000000.0,1205000000.0,2730000000.0,879000000.0,475000000.0,1259538676.4705882,319000000.0,283000000.0,400000000.0,910000000.0,393000000.0,393000000.0,-21000000.0,36000000.0,1674000000.0,1281000000.0,764000000.0,-74000000.0,283000000.0,283000000.0,-3000000.0,37000000.0,-79000000.0,-546000000.0,-170000000.0,27000000.0,283000000.0,-374000000.0,-510000000.0,-4000000.0,255000000.0,82000000.0,-1000000.0,-63000000.0,-46000000.0,123000000.0,-75000000.0,-377467239.6694215,1247087705.357143,37945909132.68855
AAL,19.0,1.59,0.0,57.57971631205673,-5.04,-6.67,191500000.0,1346056488.5496182,649160000.0,1988000000.0,7234000000.0,73807000000.0,-7340000000.0,8983000000.0,66467000000.0,6000000.0,990000000.0,-8638000000.0,12620000000.0,4091000000.0,-5942000000.0,5943000000.0,273000000.0,19006000000.0,-5942000000.0,36870000000.0,17336000000.0,239000000.0,-13419000000.0,1505000000.0,35008000000.0,1795000000.0,1772000000.0,2315000000.0,-1191000000.0,-932000000.0,353000000.0,1428000000.0,-715000000.0,-715000000.0,-468000000.0,-259000000.0,9427000000.0,10142000000.0,7999000000.0,-476000000.0,-932000000.0,-932000000.0,2065000000.0,1855000000.0,1738000000.0,-561000000.0,-510000000.0,71203177.08333333,-932000000.0,-23000000.0,-5000000.0,-22260245.61403509,-1200000000.0,660000000.0,48000000.0,-416011386.7924528,-304000000.0,-1969000000.0,-387000000.0,-610000000.0,54000000.0,12334040000.0
AAP,218.6799926758,1.29,3.25,18.42,4.69,5.6,99300000.0,1226600000.0,61090000.0,651217000.0,845407000.0,9065918000.0,3128291000.0,141877000.0,12194209000.0,8000.0,232245000.0,4605791000.0,513640000.0,993744000.0,-2322915000.0,73651000.0,601428000.0,5180307000.0,-22627000.0,4200121000.0,6275476000.0,28960695355.140186,1483330000.0,782785000.0,1034320000.0,4659018000.0,3922007000.0,1259538676.4705882,99965000.0,81669000.0,924729000.0,1072114000.0,119798000.0,119798000.0,-9706000.0,18296000.0,2396975000.0,2277177000.0,1324861000.0,-19833000.0,81669000.0,81669000.0,-311141535.35353535,172671000.0,-98433000.0,-95374000.0,-110117000.0,1337000.0,81669000.0,-3217000.0,-96704000.0,3264000.0,187326000.0,65196000.0,107816635.51401868,-416011386.7924528,147953000.0,41219000.0,-98656000.0,-377467239.6694215,-7000.0,13359160752.564623
AAPL,165.2899932861,1.19,0.87,145.57,19.88,26.58,39200000.0,1707100000.0,16320000000.0,7987129705.426356,10699241944.88189,309259000000.0,71932000000.0,57043000000.0,381191000000.0,58424000000.0,18112000000.0,14435000000.0,55056000000.0,10145954223.880596,-927000000.0,50109000000.0,37119000000.0,147574000000.0,-927000000.0,39245000000.0,153154000000.0,138683000000.0,71932000000.0,65253000000.0,106629000000.0,5876000000.0,74362000000.0,11169000000.0,41241000000.0,34630000000.0,6449000000.0,54243000000.0,41488000000.0,41488000000.0,-694000000.0,6611000000.0,123945000000.0,82457000000.0,69702000000.0,-247000000.0,34630000000.0,34630000000.0,-12929000000.0,20275000000.0,-16106000000.0,-28159000000.0,-10497000000.0,71203177.08333333,34630000000.0,2701000000.0,-23366000000.0,-22260245.61403509,46966000000.0,2697000000.0,-374000000.0,-3732000000.0,-3934000000.0,3114000000.0,-2803000000.0,-1000000000.0,-61000000.0,2697532690429.1523
ABBV,162.3099975586,0.78,5.31,80.95,8.22,20.54,55599999.99999999,5027000000.0,1770000000.0,75951000000.0,18305000000.0,131093000000.0,15408000000.0,8932000000.0,146529000000.0,18000000.0,226000000.0,3127000000.0,30982000000.0,32379000000.0,-6042000000.0,4081000000.0,9746000000.0,35194000000.0,-2899000000.0,5872000000.0,27928000000.0,318000000.0,-92922000000.0,9977000000.0,64179000000.0,3128000000.0,2882000000.0,12479000000.0,4271000000.0,4044000000.0,3136000000.0,10606000000.0,5590000000.0,5590000000.0,-580000000.0,226000000.0,14886000000.0,9296000000.0,4280000000.0,-1319000000.0,4045000000.0,4023000000.0,-36000000.0,174000000.0,-1145000000.0,-6338000000.0,265000000.0,75000000.0,4044000000.0,-2436000000.0,-131000000.0,-28000000.0,5075000000.0,1979000000.0,143000000.0,-2314000000.0,-749000000.0,136000000.0,-187000000.0,-3752000000.0,-216000000.0,287288695678.722
ABC,161.2100067139,0.46,1.78,3606.71,3.35,0.73,151500000.0,13290000000.0,209140000.0,5080673000.0,5546614000.0,56976443000.0,241546000.0,982179000.0,57577564000.0,2920000.0,2188401000.0,2019077000.0,7889885000.0,8921790000.0,-7327065000.0,2066519000.0,3168881000.0,41613605000.0,-822783000.0,2129697000.0,39378885000.0,28960695355.140186,-13760917000.0,17329294000.0,6412537000.0,16293933000.0,38617734000.0,268563000.0,596205000.0,449105000.0,1170110000.0,2060359000.0,714320000.0,714320000.0,-56632000.0,146789000.0,59628810000.0,58914490000.0,57568451000.0,-118115000.0,449416000.0,449105000.0,-311141535.35353535,824056000.0,-143120000.0,-106423000.0,-398254000.0,38937000.0,449105000.0,612252000.0,-34554000.0,-2654000.0,863411000.0,177270000.0,-788000.0,-100541000.0,716380000.0,41561000.0,-79691000.0,-6486000.0,-3779000.0,33715460804.145042
ABMD,306.0799865723,1.33,0.0,9.88,10.51,13.26,147000000.0,7800000.0,45520000.0,31241000.0,853210000.0,159939000.0,1432938000.0,27831000.0,1592877000.0,455000.0,4346088436.090225,904187000.0,24565000.0,77449000.0,-324914000.0,19058000.0,144255000.0,126796000.0,-20489000.0,205949000.0,885006000.0,374174000.0,1324248000.0,88952000.0,2131000.0,90199000.0,32066000.0,1259538676.4705882,57877000.0,45752000.0,107618000.0,213549000.0,65062000.0,65062000.0,-145599757.57575756,12125000.0,261176000.0,196114000.0,47627000.0,-7185000.0,45752000.0,45752000.0,-173543000.0,4668000.0,-180021000.0,-6161000.0,17427000.0,440000.0,45752000.0,-97627000.0,-4267000.0,-1932000.0,90487000.0,6926000.0,107816635.51401868,-416011386.7924528,218000.0,23392000.0,-6478000.0,-377467239.6694215,-2334000.0,13932760988.771097
ABT,117.6900024414,0.73,1.82,20.49,7.8,16.42,58099999.99999999,534400000.0,1760000000.0,12739000000.0,10699241944.88189,39172000000.0,35802000000.0,1234000000.0,75196000000.0,24470000000.0,292000000.0,31528000000.0,7815000000.0,23231000000.0,-20196000000.0,4363000000.0,9799000000.0,13105000000.0,-8374000000.0,10112000000.0,24239000000.0,512000000.0,-168000000.0,6487000000.0,17296000000.0,5157000000.0,4408000000.0,754000000.0,2327000000.0,1989000000.0,2953000000.0,7171000000.0,2946000000.0,2946000000.0,-131000000.0,338000000.0,11468000000.0,8522000000.0,4297000000.0,-619000000.0,1989000000.0,1981000000.0,-69000000.0,1288000000.0,-671000000.0,-1886000000.0,-172000000.0,82000000.0,1989000000.0,497000000.0,-974000000.0,-13000000.0,3067000000.0,883000000.0,12000000.0,-798000000.0,-189000000.0,161000000.0,-614000000.0,-196000000.0,1247087705.357143,207134404296.86398
ACN,319.4700012207,1.24,3.79,32.42,12.71,11.27,86400000.0,167900000.0,63340000.0,7987129705.426356,10065790000.0,23160858000.0,20560023000.0,5212073000.0,44317837000.0,72000.0,2122107000.0,16028399000.0,4805065000.0,12427823000.0,-5534238000.0,7462304000.0,5466116000.0,15540122000.0,-236889000.0,4905704000.0,19185130000.0,336876000.0,8132200000.0,11590876000.0,52152000.0,3778022597.938144,2229221000.0,9092000.0,2050450000.0,1634942000.0,2462379000.0,4523959000.0,2061580000.0,2061580000.0,-11216000.0,392921000.0,15046693000.0,12985113000.0,10522734000.0,-11130000.0,1657529000.0,1634942000.0,-311141535.35353535,734329000.0,-272502000.0,-2036715000.0,-906052000.0,292747000.0,1634942000.0,-171001000.0,-1693354000.0,-17277000.0,2155493000.0,269142000.0,2430000.0,-615926000.0,-446150000.0,734526000.0,-164660000.0,-5429000.0,-14753000.0,20235229877.319138
ADBE,420.4400024414,1.05,0.0,35.33,14.54,29.9,99500000.0,338700000.0,47250000.0,1820000000.0,8428000000.0,12444000000.0,14797000000.0,4787000000.0,27241000000.0,2716837500.0,4346088436.090225,23905000000.0,936000000.0,12721000000.0,-17536000000.0,1933000000.0,3844000000.0,6932000000.0,-137000000.0,2116000000.0,8651000000.0,28960695355.140186,256000000.0,1878000000.0,4123000000.0,3778022597.938144,312000000.0,1259538676.4705882,1468000000.0,1233000000.0,1405000000.0,3603000000.0,1501000000.0,1501000000.0,-28000000.0,235000000.0,4110000000.0,2609000000.0,507000000.0,-33000000.0,1233000000.0,1233000000.0,-428000000.0,482000000.0,-1721000000.0,-1078000000.0,-235000000.0,71203177.08333333,1233000000.0,-779000000.0,-1116000000.0,-28000000.0,2048000000.0,205000000.0,107816635.51401868,-416011386.7924528,-336094604.83870965,363000000.0,-81000000.0,-377467239.6694215,38000000.0,19865790115.35615
