Ticker,RecentPrice,Beta,AnnualDividendRate,ROE(%),ROA(%),ProfitMargin(%),TotalCash,TotalDebt,OutstandingShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,incomeBeforeTax,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,interestExpense,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome.1,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,otherCashflowsFromFinancingActivities,MarketCap,Sector
A,126.4400024,1.05,0.79,24.2,9.12,18.7,38600000.0,563400000,300110000.0,929000000.0,5290000000.0,5173000000.0,5154000000.0,592000000.0,10327000000.0,3000000,232000000.0,159000000.0,685000000.0,3964000000,-298000000.0,625000000.0,1113000000.0,1584000000.0,-298000000,1144000000.0,3474000000.0,191000000.0,261000000.0,1205000000,2730000000.0,879000000,475000000.0,1259538676,319000000,283000000.0,400000000,910000000,393000000,393000000,-21000000.0,36000000.0,1674000000.0,1281000000.0,764000000,-74000000.0,283000000,283000000,-3000000.0,37000000.0,-79000000,-546000000.0,-170000000.0,27000000.0,283000000.0,-374000000.0,-510000000,-4000000.0,255000000,82000000.0,-1000000.0,-63000000.0,-46000000.0,123000000.0,-75000000.0,-377467239.7,1247087705,37945909133.0,Health Care
AAL,19.0,1.59,0.0,57.57971631,-5.04,-6.67,191500000.0,1346056489,649160000.0,1988000000.0,7234000000.0,73807000000.0,-7340000000.0,8983000000.0,66467000000.0,6000000,990000000.0,-8638000000.0,12620000000.0,4091000000,-5942000000.0,5943000000.0,273000000.0,19006000000.0,-5942000000,36870000000.0,17336000000.0,239000000.0,-13419000000.0,1505000000,35008000000.0,1795000000,1772000000.0,2315000000,-1191000000,-932000000.0,353000000,1428000000,-715000000,-715000000,-468000000.0,-259000000.0,9427000000.0,10142000000.0,7999000000,-476000000.0,-932000000,-932000000,2065000000.0,1855000000.0,1738000000,-561000000.0,-510000000.0,71203177.08,-932000000.0,-23000000.0,-5000000,-22260245.61,-1200000000,660000000.0,48000000.0,-416011386.8,-304000000.0,-1969000000.0,-387000000.0,-610000000.0,54000000,12334040000.0,Transportation
AAP,218.6799927,1.29,3.25,18.42,4.69,5.6,99300000.0,1226600000,61090000.0,651217000.0,845407000.0,9065918000.0,3128291000.0,141877000.0,12194209000.0,8000,232245000.0,4605791000.0,513640000.0,993744000,-2322915000.0,73651000.0,601428000.0,5180307000.0,-22627000,4200121000.0,6275476000.0,28960695355.0,1483330000.0,782785000,1034320000.0,4659018000,3922007000.0,1259538676,99965000,81669000.0,924729000,1072114000,119798000,119798000,-9706000.0,18296000.0,2396975000.0,2277177000.0,1324861000,-19833000.0,81669000,81669000,-311141535.4,172671000.0,-98433000,-95374000.0,-110117000.0,1337000.0,81669000.0,-3217000.0,-96704000,3264000.0,187326000,65196000.0,107816635.5,-416011386.8,147953000.0,41219000.0,-98656000.0,-377467239.7,-7000,13359160753.0,Retail Trade
AAPL,165.2899933,1.19,0.87,145.57,19.88,26.58,39200000.0,1707100000,16320000000.0,7987129705.0,10699241945.0,309259000000.0,71932000000.0,57043000000.0,381191000000.0,58424000000,18112000000.0,14435000000.0,55056000000.0,10145954224,-927000000.0,50109000000.0,37119000000.0,147574000000.0,-927000000,39245000000.0,153154000000.0,138683000000.0,71932000000.0,65253000000,106629000000.0,5876000000,74362000000.0,11169000000,41241000000,34630000000.0,6449000000,54243000000,41488000000,41488000000,-694000000.0,6611000000.0,123945000000.0,82457000000.0,69702000000,-247000000.0,34630000000,34630000000,-12929000000.0,20275000000.0,-16106000000,-28159000000.0,-10497000000.0,71203177.08,34630000000.0,2701000000.0,-23366000000,-22260245.61,46966000000,2697000000.0,-374000000.0,-3732000000.0,-3934000000.0,3114000000.0,-2803000000.0,-1000000000.0,-61000000,2697530000000.0,Information Technology
ABBV,162.3099976,0.78,5.31,80.95,8.22,20.54,55600000.0,5027000000,1770000000.0,75951000000.0,18305000000.0,131093000000.0,15408000000.0,8932000000.0,146529000000.0,18000000,226000000.0,3127000000.0,30982000000.0,32379000000,-6042000000.0,4081000000.0,9746000000.0,35194000000.0,-2899000000,5872000000.0,27928000000.0,318000000.0,-92922000000.0,9977000000,64179000000.0,3128000000,2882000000.0,12479000000,4271000000,4044000000.0,3136000000,10606000000,5590000000,5590000000,-580000000.0,226000000.0,14886000000.0,9296000000.0,4280000000,-1319000000.0,4045000000,4023000000,-36000000.0,174000000.0,-1145000000,-6338000000.0,265000000.0,75000000.0,4044000000.0,-2436000000.0,-131000000,-28000000.0,5075000000,1979000000.0,143000000.0,-2314000000.0,-749000000.0,136000000.0,-187000000.0,-3752000000.0,-216000000,287289000000.0,Health Technology
ABC,161.2100067,0.46,1.78,3606.71,3.35,0.73,151500000.0,13290000000,209140000.0,5080673000.0,5546614000.0,56976443000.0,241546000.0,982179000.0,57577564000.0,2920000,2188401000.0,2019077000.0,7889885000.0,8921790000,-7327065000.0,2066519000.0,3168881000.0,41613605000.0,-822783000,2129697000.0,39378885000.0,28960695355.0,-13760917000.0,17329294000,6412537000.0,16293933000,38617734000.0,268563000,596205000,449105000.0,1170110000,2060359000,714320000,714320000,-56632000.0,146789000.0,59628810000.0,58914490000.0,57568451000,-118115000.0,449416000,449105000,-311141535.4,824056000.0,-143120000,-106423000.0,-398254000.0,38937000.0,449105000.0,612252000.0,-34554000,-2654000.0,863411000,177270000.0,-788000.0,-100541000.0,716380000.0,41561000.0,-79691000.0,-6486000.0,-3779000,33715460804.0,Health Care
ABMD,306.0799866,1.33,0.0,9.88,10.51,13.26,147000000.0,7800000,45520000.0,31241000.0,853210000.0,159939000.0,1432938000.0,27831000.0,1592877000.0,455000,4346088436.0,904187000.0,24565000.0,77449000,-324914000.0,19058000.0,144255000.0,126796000.0,-20489000,205949000.0,885006000.0,374174000.0,1324248000.0,88952000,2131000.0,90199000,32066000.0,1259538676,57877000,45752000.0,107618000,213549000,65062000,65062000,-145599757.6,12125000.0,261176000.0,196114000.0,47627000,-7185000.0,45752000,45752000,-173543000.0,4668000.0,-180021000,-6161000.0,17427000.0,440000.0,45752000.0,-97627000.0,-4267000,-1932000.0,90487000,6926000.0,107816635.5,-416011386.8,218000.0,23392000.0,-6478000.0,-377467239.7,-2334000,13932760989.0,Health Technology
ABT,117.6900024,0.73,1.82,20.49,7.8,16.42,58100000.0,534400000,1760000000.0,12739000000.0,10699241945.0,39172000000.0,35802000000.0,1234000000.0,75196000000.0,24470000000,292000000.0,31528000000.0,7815000000.0,23231000000,-20196000000.0,4363000000.0,9799000000.0,13105000000.0,-8374000000,10112000000.0,24239000000.0,512000000.0,-168000000.0,6487000000,17296000000.0,5157000000,4408000000.0,754000000,2327000000,1989000000.0,2953000000,7171000000,2946000000,2946000000,-131000000.0,338000000.0,11468000000.0,8522000000.0,4297000000,-619000000.0,1989000000,1981000000,-69000000.0,1288000000.0,-671000000,-1886000000.0,-172000000.0,82000000.0,1989000000.0,497000000.0,-974000000,-13000000.0,3067000000,883000000.0,12000000.0,-798000000.0,-189000000.0,161000000.0,-614000000.0,-196000000.0,1247087705,207134000000.0,Health Care
ACN,319.4700012,1.24,3.79,32.42,12.71,11.27,86400000.0,167900000,63340000.0,7987129705.0,10065790000.0,23160858000.0,20560023000.0,5212073000.0,44317837000.0,72000,2122107000.0,16028399000.0,4805065000.0,12427823000,-5534238000.0,7462304000.0,5466116000.0,15540122000.0,-236889000,4905704000.0,19185130000.0,336876000.0,8132200000.0,11590876000,52152000.0,3778022598,2229221000.0,9092000,2050450000,1634942000.0,2462379000,4523959000,2061580000,2061580000,-11216000.0,392921000.0,15046693000.0,12985113000.0,10522734000,-11130000.0,1657529000,1634942000,-311141535.4,734329000.0,-272502000,-2036715000.0,-906052000.0,292747000.0,1634942000.0,-171001000.0,-1693354000,-17277000.0,2155493000,269142000.0,2430000.0,-615926000.0,-446150000.0,734526000.0,-164660000.0,-5429000.0,-14753000,20235229877.0,Information Technology
ADBE,420.4400024,1.05,0.0,35.33,14.54,29.9,99500000.0,338700000,47250000.0,1820000000.0,8428000000.0,12444000000.0,14797000000.0,4787000000.0,27241000000.0,2716837500,4346088436.0,23905000000.0,936000000.0,12721000000,-17536000000.0,1933000000.0,3844000000.0,6932000000.0,-137000000,2116000000.0,8651000000.0,28960695355.0,256000000.0,1878000000,4123000000.0,3778022598,312000000.0,1259538676,1468000000,1233000000.0,1405000000,3603000000,1501000000,1501000000,-28000000.0,235000000.0,4110000000.0,2609000000.0,507000000,-33000000.0,1233000000,1233000000,-428000000.0,482000000.0,-1721000000,-1078000000.0,-235000000.0,71203177.08,1233000000.0,-779000000.0,-1116000000,-28000000.0,2048000000,205000000.0,107816635.5,-416011386.8,-336094604.8,363000000.0,-81000000.0,-377467239.7,38000000,19865790115.0,Information Technology
